id_pos,competidores,ingreso_mediana,ingreso_promedio,densidad_poblacional,pct_secundario,pct_bicicleta,pct_omnibus,pct_subtes,pct_taxi,pct_caminata,mediana_valor_hogar,pct_ninios,pct_jovenes,pct_adultos,pct_ancianos,pct_posgrados
288,14.0,53983.96272999999,70728.88125,8490.5475,28.028000000000002,0.41333333299999997,1.575,0.07125,0.046,2.571111111,196307.4614,7.084999999999997,5.254282293000003,42.48916667199998,0.0,0.0
953,10.0,43335.60667,62332.89,10802.09333,21.16666667,2.59,3.443333333,0.006666666999999999,0.03,10.39333333,183392.66,14.443333333000002,35.982775122999996,47.066666668,7.86,35.43
1004,4.0,56266.78,69031.12,1484.12,35.9,0.0,0.0,0.0,0.15,1.68,164970.87,19.439999999999998,19.27,58.67,9.879999999999999,23.31
1488,1.0,55410.455,68901.835,1699.855,30.045,0.0,0.94,0.0,0.0,0.635,144840.55,22.385,20.29,60.46,6.375,26.14
3142,12.0,50395.31667,68263.48667,17239.67333,27.63,0.26,6.733333332999999,0.72,0.21,3.793333333,252050.3467,17.926666667,21.003333334,57.683333333,10.753333333,26.34333333
3143,33.0,55256.523329999996,70989.74667000001,37567.7525,29.5,0.36666666700000006,8.41,2.126666668,0.24,3.0066666669999997,391646.2067,18.310000000000002,18.990000000000002,58.253333333,11.313333333000001,24.466666667
3144,38.0,43437.32,58236.365,8799.223333,28.13,0.18333333300000001,1.466666667,0.0,0.025,1.5183333330000002,137570.5233,21.564999999999998,22.411666667,53.863333332,9.451666667,23.748333333999998
3146,5.0,24541.12,38500.06,9049.91,31.23,0.42,0.41,0.0,0.0,7.59,112830.83,13.97,35.982775122999996,43.27,7.470000000000001,16.28
3147,21.0,47007.3475,63568.4825,7390.0125,31.9725,0.4575,0.3975,0.0,0.155,1.075,128504.57,19.2425,18.8175,54.917500000000004,12.805,21.2175
3148,17.0,45155.592000000004,59637.55,9499.356,28.906,1.642,2.162,0.054000000000000006,0.0,3.612,165903.91199999998,16.66,24.006,53.798,11.846,27.328
3150,6.0,57474.745,77014.495,13350.58,23.935,0.23,6.325,0.12,0.0,3.32,208861.38,15.445,27.884999999999998,51.93000000000001,12.094999999999999,40.864999999999995
3151,22.0,82835.622,99419.31199999999,6992.218000000001,24.022,0.396,1.48,1.1159999999999999,0.064,3.53,304384.44,21.979999999999997,18.805999999999997,54.922000000000004,10.437999999999999,31.422
3152,0.0,57375.51,75075.03,853.61,39.18,0.0,0.0,0.0,0.0,0.51,150347.32,20.76,17.049999999999997,57.16,12.35,25.71
3154,43.0,43669.267139999996,58701.30429,22645.59857,33.69714286,0.32,8.167142857,1.1914285709999999,0.245714286,2.83,160215.7786,19.768571428,22.028571429,53.357142855999996,11.792857142,18.184285716
3155,4.0,44586.61,54694.48,10783.54,29.41,0.45,0.95,0.0,0.0,2.26,158676.6,22.599999999999998,29.9,49.8,6.09,19.7
3156,9.0,75609.7475,102166.84,7003.6,22.7025,0.355,0.6525,0.165,0.0475,0.9275,453192.16,17.6575,19.2475,53.9475,14.2275,36.445
3157,9.0,42699.24,53414.625,5887.155,37.54,0.1,2.46,0.0,0.505,1.83,109879.095,17.935,17.695,57.620000000000005,12.425,16.595
