id_pos,fecha_anio,fecha,unidades_despachadas,cantidad_envios,fecha_dia,fecha_mes,fecha_dia_de_semana,fecha_fin_de_semana
10000,2012,2012-10-19,12,1,19,10,viernes,False
10000,2013,2013-09-13,24,1,13,9,viernes,False
10000,2014,2014-10-18,12,1,18,10,sabado,True
10001,2012,2012-10-19,12,1,19,10,viernes,False
10001,2013,2013-10-25,12,1,25,10,viernes,False
10001,2014,2014-10-18,24,1,18,10,sabado,True
10002,2012,2012-10-19,12,1,19,10,viernes,False
10002,2013,2013-09-13,36,1,13,9,viernes,False
10002,2014,2014-09-13,24,1,13,9,sabado,True
10003,2012,2012-10-19,12,1,19,10,viernes,False
10003,2013,2013-10-25,24,1,25,10,viernes,False
10003,2014,2014-10-18,48,1,18,10,sabado,True
10005,2014,2014-10-18,12,1,18,10,sabado,True
10007,2013,2013-10-25,24,1,25,10,viernes,False
10007,2014,2014-10-18,24,1,18,10,sabado,True
10008,2012,2012-10-19,12,1,19,10,viernes,False
10008,2013,2013-09-13,36,1,13,9,viernes,False
10008,2014,2014-10-18,24,1,18,10,sabado,True
10009,2012,2012-10-19,12,1,19,10,viernes,False
10009,2013,2013-10-25,12,1,25,10,viernes,False
10009,2014,2014-09-13,12,1,13,9,sabado,True
10010,2012,2012-10-19,12,1,19,10,viernes,False
10010,2013,2013-10-25,12,1,25,10,viernes,False
10011,2012,2012-10-19,12,1,19,10,viernes,False
10011,2013,2013-10-25,36,1,25,10,viernes,False
10011,2014,2014-10-18,24,1,18,10,sabado,True
10012,2013,2013-10-25,24,1,25,10,viernes,False
10013,2012,2012-10-19,12,1,19,10,viernes,False
10013,2013,2013-10-25,36,1,25,10,viernes,False
10013,2014,2014-10-18,24,1,18,10,sabado,True
10014,2012,2012-10-19,12,1,19,10,viernes,False
10014,2013,2013-10-25,12,1,25,10,viernes,False
10014,2014,2014-10-18,12,1,18,10,sabado,True
10015,2013,2013-09-13,24,1,13,9,viernes,False
10015,2014,2014-10-18,24,1,18,10,sabado,True
10016,2013,2013-10-25,36,1,25,10,viernes,False
10016,2014,2014-09-13,24,1,13,9,sabado,True
10019,2012,2012-10-19,12,1,19,10,viernes,False
10019,2013,2013-10-25,12,1,25,10,viernes,False
10019,2014,2014-10-18,24,1,18,10,sabado,True
10020,2012,2012-10-19,12,1,19,10,viernes,False
10020,2013,2013-09-13,12,1,13,9,viernes,False
10020,2014,2014-09-13,12,1,13,9,sabado,True
10022,2013,2013-10-25,12,1,25,10,viernes,False
10022,2014,2014-10-18,12,1,18,10,sabado,True
10023,2012,2012-10-19,12,1,19,10,viernes,False
10023,2013,2013-10-25,48,1,25,10,viernes,False
10023,2014,2014-10-18,36,1,18,10,sabado,True
10025,2012,2012-10-19,12,1,19,10,viernes,False
10025,2013,2013-10-25,12,1,25,10,viernes,False
10025,2014,2014-09-13,12,1,13,9,sabado,True
10027,2013,2013-10-25,12,1,25,10,viernes,False
10029,2012,2012-10-19,12,1,19,10,viernes,False
10029,2013,2013-09-13,24,1,13,9,viernes,False
10029,2014,2014-10-18,12,1,18,10,sabado,True
10032,2012,2012-10-19,12,1,19,10,viernes,False
10032,2013,2013-09-13,24,1,13,9,viernes,False
10032,2014,2014-10-18,12,1,18,10,sabado,True
10033,2012,2012-10-19,12,1,19,10,viernes,False
10033,2013,2013-10-25,60,1,25,10,viernes,False
10033,2014,2014-10-18,36,1,18,10,sabado,True
10034,2012,2012-10-19,12,1,19,10,viernes,False
10034,2013,2013-09-13,48,1,13,9,viernes,False
10034,2014,2014-10-18,36,1,18,10,sabado,True
10036,2013,2013-10-25,24,1,25,10,viernes,False
10036,2014,2014-10-18,36,1,18,10,sabado,True
10044,2013,2013-09-13,24,1,13,9,viernes,False
10044,2014,2014-09-13,12,1,13,9,sabado,True
10047,2013,2013-10-25,12,1,25,10,viernes,False
10049,2013,2013-10-18,24,1,18,10,viernes,False
10049,2014,2014-09-13,24,1,13,9,sabado,True
10050,2013,2013-10-25,12,1,25,10,viernes,False
10050,2014,2014-10-18,12,1,18,10,sabado,True
10054,2012,2012-10-19,12,1,19,10,viernes,False
10054,2013,2013-10-25,12,1,25,10,viernes,False
10054,2014,2014-10-18,12,1,18,10,sabado,True
10055,2012,2012-10-19,12,1,19,10,viernes,False
10055,2013,2013-10-25,12,1,25,10,viernes,False
10055,2014,2014-10-18,12,1,18,10,sabado,True
10057,2012,2012-10-19,12,1,19,10,viernes,False
10057,2013,2013-09-13,24,1,13,9,viernes,False
10057,2014,2014-10-18,12,1,18,10,sabado,True
10059,2013,2013-10-25,12,1,25,10,viernes,False
10059,2014,2014-10-18,24,1,18,10,sabado,True
10060,2012,2012-10-19,12,1,19,10,viernes,False
10060,2013,2013-10-25,24,1,25,10,viernes,False
10060,2014,2014-10-18,24,1,18,10,sabado,True
10061,2012,2012-10-19,12,1,19,10,viernes,False
10061,2013,2013-10-25,24,1,25,10,viernes,False
10061,2014,2014-10-18,12,1,18,10,sabado,True
10062,2013,2013-09-13,24,1,13,9,viernes,False
10062,2014,2014-10-18,24,1,18,10,sabado,True
10065,2012,2012-10-19,12,1,19,10,viernes,False
10065,2013,2013-10-25,24,1,25,10,viernes,False
10065,2014,2014-09-13,24,1,13,9,sabado,True
10067,2013,2013-10-25,12,1,25,10,viernes,False
